Posisi,Perusahaan,Lokasi,Gaji,Waktu
Fresh Graduate AI Prompter,PT Niaga Manajemen Citra,Jakarta Raya,Rp 7.500.000 – Rp 8.500.000 per month,26 hari yang lalu
Strategic Digital Development Analyst,PT Bank Mandiri (PERSERO) Tbk,Jakarta Raya,Gaji tidak disebutkan,26 hari yang lalu
MS SQL Database Administrator,PT Bank Mandiri (PERSERO) Tbk,Jakarta Raya,Gaji tidak disebutkan,26 hari yang lalu
Data Scientist - Jakarta,PT. LIPPO KARAWACI TBK,Jakarta Pusat,Gaji tidak disebutkan,26 hari yang lalu
Position,"PT Summarecon Agung, Tbk",Kecamatan Tangerang,Gaji tidak disebutkan,26 hari yang lalu
IT DEVELOPMENT,PT Smart Multi Finance,Jakarta Raya,Gaji tidak disebutkan,26 hari yang lalu
Research Analyst,PT YAKIN BERTUMBUH SEKURITAS,Surabaya,Gaji tidak disebutkan,26 hari yang lalu
Data Center Infrastructure Engineer,PT Anomali Lintas Cakrawala,Jakarta Selatan,Rp 7.000.000 – Rp 9.000.000 per month,26 hari yang lalu
Sistem Analis IT,Morning Glory Enterprise (Surabaya),Surabaya,Gaji tidak disebutkan,26 hari yang lalu
Peneliti Muda (Research Fellow),Satwa Sehat Indonesia,Malang,Rp 2.000.000 – Rp 3.000.000 per month,27 hari yang lalu
"Intern, Actuarial (June Intake)",EdirectInsure Group,Jakarta Raya,Gaji tidak disebutkan,1 bulan yang lalu
eDiscovery DevOps Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,1 bulan yang lalu
HC Analytics Intern,PT Adira Dinamika Multi Finance Tbk,Jakarta Selatan,Gaji tidak disebutkan,1 bulan yang lalu
Dosen Program Studi Informatika,Yayasan Pendidikan Pradita Indonesia,Tangerang,Rp 10.000.000 – Rp 15.000.000 per month,1 bulan yang lalu
Personal assistant,PT Riseta Medica Inovasia,Jakarta Timur,Rp 3.800.000 – Rp 5.530.000 per month,1 bulan yang lalu
Business Analyst - Banking Industry Placement,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Selatan,Rp 8.000.000 – Rp 9.500.000 per month,1 bulan yang lalu
AI Engineer,PT IDStar Cipta Teknologi,Jakarta Raya,Gaji tidak disebutkan,1 bulan yang lalu
Senior Data Engineer (Mandarin Speaker),PT. HAND Solutions Indonesia,Jakarta Pusat,Gaji tidak disebutkan,1 bulan yang lalu
Business Intelligence Developer (Middle–Senior),Xquisite AI,Jakarta Raya,Gaji tidak disebutkan,1 bulan yang lalu
Project Manager ICT (Data Centre),PT Cushman & Wakefield Indonesia,Jakarta Barat,Gaji tidak disebutkan,1 bulan yang lalu
Product Owner,Steradian Data Optima,Jakarta Raya,Rp 7.000.000 – Rp 8.000.000 per month,1 bulan yang lalu
Business Analyst,B-LOG,Tangerang,Gaji tidak disebutkan,1 bulan yang lalu
Data Analyst,PT Walden Global Services,Bandung,Rp 5.500.000 – Rp 8.000.000 per month,1 bulan yang lalu
GenAI & Data Modeling Technical Lead (Client-Side),PT Sinergi Daya Mitra,Jakarta Raya,Gaji tidak disebutkan,1 bulan yang lalu
Business Growth Manager,PT METEOR INOVASI DIGITAL,Kabupaten Tangerang,Rp 10.000.000 – Rp 13.000.000 per month,1 bulan yang lalu
ETL Developer (Yogyakarta Based),PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Yogyakarta,Rp 9.000.000 – Rp 9.500.000 per month,1 bulan yang lalu
Data Analyst,PT Dwara Artha Digital,Jakarta Raya,Rp 7.000.000 – Rp 9.500.000 per month,1 bulan yang lalu
Business Analyst,PT Suriatama,Jakarta Utara,Gaji tidak disebutkan,1 bulan yang lalu
Product Analyst / Pengembangan Product,PT MUMUSO TRADING INDONESIA,Jakarta Utara,Rp 6.000.000 – Rp 8.000.000 per month,1 bulan yang lalu
Portfolio Analyst,PT. Tri Adi Bersama,Jakarta Selatan,Gaji tidak disebutkan,1 bulan yang lalu
ADMIN DATA VALIDATION - HEAD OFFICE,PT Alfa Retailindo,Jakarta Selatan,Gaji tidak disebutkan,1 bulan yang lalu
Sr. Data Engineer - I,Sekolah.mu,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Jr. Technical Analytics Consultant,IlmuOne Data,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Workforce Insights Coordinator,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Jr. Project Manager Advisory/Scrum,IlmuOne Data,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Head of Client Solutions,IlmuOne Data,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,PT Akhdani Reka Solusi,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
Marketing Specialist,Fpone Agency Prudential,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
Senior Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
[265] Data Engineer,PT Infiniti Reka Solusi,Kecamatan Tangerang,Gaji tidak disebutkan,30+ hari yang lalu
Business Analyst,WireHire,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Portfolio Insights Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Associate Data Analyst,PT Global Digital Niaga,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
ETL Developer,PT Tiga Daya Digital Indonesia,Yogyakarta,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,Modalku,Kalideres,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer/Senior Engineer,PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst (Finance),PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Strategy Research Associate,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data & Insights Strategist | Business Development Gramedia,Kompas Gramedia - KG Media,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
"Business Analyst, Assistant Manager",PT Solusi Transportasi Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Sales Analyst,Indofood Group,Makassar,Gaji tidak disebutkan,30+ hari yang lalu
"Regional Campaign Strategist, AI Enabled",Advertising,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
"Regional Campaign Strategist, AI Enabled",PT Solusi Transportasi Indonesia,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Digital Solutions Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Business Analyst,PT Tech Grid Indonesia,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,PT Tech Grid Indonesia,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
"Demand Planning - Budgeting & Planning, ShopeeFood",Shopee Internasional Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
DevOps Engineer,PT Indocyber Global Teknologi,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
"Credit Risk, Business Banking",Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Platform Data Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,Agit,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,PT Bumi Amartha Teknologi Mandiri,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
Labs Bootcamp Program,PT Sea Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Product Management (Enterprise Efficiency - People Systems) - Sea Labs,PT Sea Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Product Manager - Client Onboarding,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Supply Chain Analyst,PT Saf Indonusa,Malang,Gaji tidak disebutkan,30+ hari yang lalu
Data Enabler & Quality (DEQ) Intern,PT Alto Network,Jawa Tengah,Gaji tidak disebutkan,30+ hari yang lalu
Data Annotator,Super Bank Indonesia,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
Business Product Manager (Games) - Sea Labs,PT Sea Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Research Intern,PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Research Scientist,PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Research Engineer,PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
"Intern, Data Analyst",PT Sea Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence Engineer,Cermati Fintech Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence Engineer,Indodana,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Product Marketing Analyst,Halodoc,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Lead Data Engineer,Cermati Fintech Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence Analyst,Cermati Fintech Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence Senior Analyst,Cermati Fintech Group,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
Merchant and Customer Insight (Analyst - Senior Analyst Level),Cermati Fintech Group,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
Organic Growth Senior Associate,Cermati Fintech Group,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Associate - BI Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Audit Data Analytics Lead,Super Bank Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Governance Manager,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Management Lead,ABeam Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analytics Manager,ABeam Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Delivery Head of Data Management & Analytics,ABeam Consulting Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
AI Assurance and Risk Specialist,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Product Manager,super-staff.ai,Bandung,Gaji tidak disebutkan,30+ hari yang lalu
Research Staff,PT Foodie Bisnis Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Imaging Geophysicist,Veridien,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Strategic Qualitative Researcher,PT. Garena Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence Analyst,PT Luxehouze Group Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Software Engineer | Python,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Manager | Change Management,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer - Banking Syariah,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data and Automation Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Insight Senior Officer,PT Global Digital Niaga,Kemayoran,Gaji tidak disebutkan,30+ hari yang lalu
Full Stack Engineer - AI,Ledgerowl,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Imaging Geophysicist Intern,Veridien,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Agency Strategy,PT AIA Financial,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Corporate Finance Associate,PT BDO Bisnis Solusi Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Science & AI/ML,detikcom,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
DATA ENGINEER,PT Lion Super Indo,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Business Analyst,PT NTT Data Indonesia,Kebayoran Lama,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,Finku,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Analyst/Senior Analyst - Credit Modelling,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst - DSO,PT Astra International Tbk - Daihatsu Sales Operation (Astra Daihatsu),Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
"Senior Manager - Technology, Data and AI Risk Management",Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Research & Innovation,Medion Ardhika Bhakti,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Enterprise Data Architect | Associate Director,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Principal Data Engineer,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,ASSA Rent (Jakarta),Jakarta Utara,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,"PT Adi Sarana Armada, Tbk",Jakarta Utara,Gaji tidak disebutkan,30+ hari yang lalu
Technology Risk Manager,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
SOC L2 Analyst - Cybersecurity Technology Consulting,EY,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
"Data Intelligence Lead (Regional) APAC, Fintech",Optasia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
BA Data Analyst,PT Guntner Indonesia,Pasuruan,Gaji tidak disebutkan,30+ hari yang lalu
Data Center Engineer,Macquarie Group,Pegasing,Gaji tidak disebutkan,30+ hari yang lalu
Associate Data Engineer,Enterprise Digital Technology Services - EDTS,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Business Analyst,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
MIS & Reporting Analyst,PT Apex Nusantara Indo,Surabaya,Gaji tidak disebutkan,30+ hari yang lalu
AI Transformation Manager,Macquarie Group,Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
HR Data Analytic Intern,PT Link Net,Kecamatan Tangerang,Gaji tidak disebutkan,30+ hari yang lalu
Pricing Product Analyst,PT Trinusa Travelindo,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
IT Operation Analyst,PT Nutrifood Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
IT Database Management,PT Nutrifood Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Analyst,PT Trinusa Travelindo,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Exploration Technology Specialist,TechConnect,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Scientist,Vida,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Senior Data Analyst - Marketing and Campaign Analytics,PT Trinusa Travelindo,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Presales Solution Architect - Azure Data & AI,PT SoftwareONE Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer - Data Warehouse,PT Trinusa Travelindo,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
[G01] Data Engineer,BINAR's Partner,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
[223] Solution Analyst,PT Bank Mandiri (PERSERO) Tbk,Kalideres,Gaji tidak disebutkan,30+ hari yang lalu
Product Manager (Mandarin Speaker),PT Apex Nusantara Indo,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Junior Project Manager (AI/ ML) - Asian market,TSMG,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,PT Dentsu Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Lead Data Analyst,PT Dentsu Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Lead Data Analyst,Merkle Innovation,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Junior Team Lead - Asian market,TSMG,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer,Vida,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Lowongan Kerja Data Engineer,PT Global Retailindo Pratama (Minimart ),Denpasar,Gaji tidak disebutkan,30+ hari yang lalu
Data Analyst,PT ERHANESIA DIGIMA MUKITAMA (ERDIGMA),Purbalingga,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence,PT ERHANESIA DIGIMA MUKITAMA (ERDIGMA),Purbalingga,Gaji tidak disebutkan,30+ hari yang lalu
Data Engineer Specialist,PT ERHANESIA DIGIMA MUKITAMA (ERDIGMA),Purbalingga,Gaji tidak disebutkan,30+ hari yang lalu
PD Data Analyst,PT AIA Financial,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Lowongan Kerja SAMPOERNA UNIVERSITY - PART TIME DATA ANALYST,SAMPOERNA SCHOOLS SYSTEM,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
"Lowongan Kerja AI Training for Math Experts, Indonesian",Outlier Ai,Bekasi,Gaji tidak disebutkan,30+ hari yang lalu
Data Scientist,PT Mid Solusi Nusantara (MEKARI),Indonesia,Gaji tidak disebutkan,30+ hari yang lalu
Software Engineer - Data,PT Samsung Electronics Indonesia,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Purchasing/ Buyer - Data Analyst,Alfar Foodmart,Bandung,Gaji tidak disebutkan,30+ hari yang lalu
Credit Analyst,PT AIA Financial,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Strategy & Innovation Consultant,WireHire,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Master Data Admin,ASSA Rent (Jakarta),Jakarta Utara,Gaji tidak disebutkan,30+ hari yang lalu
Mapping City/Country Expert,TSMG,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Project Manager - Data Center,WireHire,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Business Intelligence,WireHire,Jakarta Raya,Gaji tidak disebutkan,30+ hari yang lalu
Lead Engineer - Machine Learning,GE Renewable Energy Power and Aviation,Subang,Gaji tidak disebutkan,30+ hari yang lalu
Sr. Data Scientist,GE Renewable Energy Power and Aviation,Subang,Gaji tidak disebutkan,30+ hari yang lalu
