Posisi,Perusahaan,Lokasi,Gaji,Waktu,min_Gajian,max_Gajian,avg_Gajian,Nama_Perusahaan,kota_Kerja,Time
Data Management Supervisor,PT Perindustrian Bapak Djenggot (Orang Tua Group),Jakarta Barat,Gaji tidak disebutkan,4 hari yang lalu,,,,PT Perindustrian Bapak Djenggot (Orang Tua Group),Jakarta Barat,4 hari yang lalu
Sales Analyst,PT. Admiral Paragon Jaya,Kabupaten Bogor,Gaji tidak disebutkan,4 hari yang lalu,,,,PT. Admiral Paragon Jaya,Kabupaten Bogor,4 hari yang lalu
Data Science (Machine Learning - Lead),PT. Lintas Teknologi Indonesia,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu,,,,PT. Lintas Teknologi Indonesia,Jakarta Raya,4 hari yang lalu
Data Analyst / PDCA,PT. CBA Chemical Industry,Tangerang,Gaji tidak disebutkan,4 hari yang lalu,,,,PT. CBA Chemical Industry,Tangerang,4 hari yang lalu
Head of Sales Strategy & Analytics,WireHire,Kebayoran Lama,Gaji tidak disebutkan,4 hari yang lalu,,,,WireHire,Kebayoran Lama,4 hari yang lalu
Data Operation Center Engineer,Pengiklan Anonim,Tangerang Selatan,Gaji tidak disebutkan,4 hari yang lalu,,,,Pengiklan Anonim,Tangerang Selatan,4 hari yang lalu
AI Automation & Process Optimization Assistant Manager,CINEPOLIS INDONESIA,Tangerang,Gaji tidak disebutkan,4 hari yang lalu,,,,CINEPOLIS INDONESIA,Tangerang,4 hari yang lalu
Product Manager (Fraud Detection System),PT Empore Hezer Tama,Jakarta Selatan,Gaji tidak disebutkan,4 hari yang lalu,,,,PT Empore Hezer Tama,Jakarta Selatan,4 hari yang lalu
Senior Full Stack,Goodeva Technology,DI Yogyakarta,Gaji tidak disebutkan,4 hari yang lalu,,,,Goodeva Technology,DI Yogyakarta,4 hari yang lalu
Lab Analyst Junior (ATLM) - Jakarta,Staffinc,Jakarta Raya,Rp 6.500.000 – Rp 6.700.000 per month,4 hari yang lalu,6500000.0,6700000.0,6600000.0,Staffinc,Jakarta Raya,4 hari yang lalu
Lead Data Scientist,Populix,Jakarta Raya,Gaji tidak disebutkan,4 hari yang lalu,,,,Populix,Jakarta Raya,4 hari yang lalu
AI Engineer,PT Cerdas Digital Nusantara,Kecamatan Tangerang,Gaji tidak disebutkan,4 hari yang lalu,,,,PT Cerdas Digital Nusantara,Kecamatan Tangerang,4 hari yang lalu
Sales Data Analysis,Best Indonesian Gift,Badung,Rp 3.800.000 – Rp 5.000.000 per month,4 hari yang lalu,3800000.0,5000000.0,4400000.0,Best Indonesian Gift,Badung,4 hari yang lalu
Research Analyst,PT Katadata Indonesia,Jakarta Selatan,Gaji tidak disebutkan,4 hari yang lalu,,,,PT Katadata Indonesia,Jakarta Selatan,4 hari yang lalu
